学校名称,官网,招生链接,SAT/雅思/托福要求,国际学生要求
宁波诺丁汉大学,https://www.nottingham.edu.cn/,,,
昆山杜克大学,https://dukekunshan.edu.cn/,https://dukekunshan.edu.cn//#;https://admissions.dukekunshan.edu.cn;https://admissions.dukekunshan.edu.cn/en,,
西交利物浦大学,https://www.xjtlu.edu.cn/,https://www.xjtlu.edu.cn//javascript:void(0);;https://www.xjtlu.edu.cn/zh/admissions;https://www.xjtlu.edu.cn/zh/admissions/ug,,
上海纽约大学,https://shanghai.nyu.edu/cn,https://shanghai.nyu.edu/cn/cn/zsb/admissions-tour;https://shanghai.nyu.edu/cn/cn/zsb;https://shanghai.nyu.edu/cn/cn/undergraduate-admissions,,
北京师范大学-香港浸会大学联合国际学院,https://uic.edu.cn/,https://admission.uic.edu.cn;http://admission.uic.edu.cn/alumni;http://admission.uic.edu.cn/parents,,
温州肯恩大学,https://wku.edu.cn/,http://admission.wku.edu.cn;https://admission.wku.edu.cn/zh-hans;https://admission.wku.edu.cn/zh-hans/zhongguodalubenkezhaosheng,,
广东以色列理工学院,https://www.gtiit.edu.cn/,https://sites.gtiit.edu.cn/admissions/;https://sites.gtiit.edu.cn/admissions/;https://sites.gtiit.edu.cn/admissions/,,
深圳北理莫斯科大学,https://www.smbu.edu.cn/,https://admission.smbu.edu.cn/;https://admission.smbu.edu.cn/;https://admission.smbu.edu.cn/,,
中国科学院大学香港浸会大学联合学院,http://hkbu-uic.ucas.ac.cn/,,,
香港中文大学(深圳),https://www.cuhk.edu.cn/,https://www.cuhk.edu.cn//zh-hans/admissions;https://www.cuhk.edu.cn//zh-hans/admissions;https://admissions.cuhk.edu.cn/,,
北京大学-香港大学医学部,https://pkuhkumedicine.bjmu.edu.cn/,,,
温州肯恩大学,https://wku.edu.cn/,http://admission.wku.edu.cn;https://admission.wku.edu.cn/zh-hans;https://admission.wku.edu.cn/zh-hans/zhongguodalubenkezhaosheng,,
