地区,类型,名称,链接,标记
北京,合作办学机构,北京航空航天大学中法工程师学院 （Beihang Sino-French Engineer School ）,https://www.crs.jsj.edu.cn/aproval/detail/105,"▲, ■"
北京,合作办学机构,北京工业大学北京-都柏林国际学院（Beijing-Dublin International College at BJUT）,https://www.crs.jsj.edu.cn/aproval/detail/838,▲
北京,合作办学机构,"中国传媒大学国际传媒教育学院（Faculty of International Media ,Communication University of China）",https://www.crs.jsj.edu.cn/aproval/detail/1120,"▲, ■"
北京,合作办学机构,北京化工大学巴黎居里工程师学院（Beijing University of Chemical Technology Paris Curie Engineer School）,https://www.crs.jsj.edu.cn/aproval/detail/2314,"▲, ■"
北京,合作办学机构,北京联合大学俄交大联合交通学院（俄文：Объединенный транспортный институт РУТ при Пекинском объединенном университете）,https://www.crs.jsj.edu.cn/aproval/detail/2671,▲
北京,合作办学机构,"北方工业大学伦敦布鲁内尔学院 （英文：Brunel London School, North China University of Technology）",https://www.crs.jsj.edu.cn/aproval/detail/2782,▲
北京,合作办学机构,"北京理工大学北理鲍曼联合学院（俄文：Cовместный институт ППИ-МГТУ им.Н.Э.Баумана при Пекинском политехническом институте   英文： BIT-BMSTU Joint School, Beijing Institute of Technology）",https://www.crs.jsj.edu.cn/aproval/detail/2955,"▲, ■"
北京,合作办学机构,"北京邮电大学玛丽女王学院（英文：Queen Mary School, Beijing University of  Posts and Telecommunications）",https://www.crs.jsj.edu.cn/aproval/detail/2956,▲
北京,合作办学项目,中央财经大学与澳大利亚维多利亚大学合作举办国际经济与贸易专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/384,●
北京,合作办学项目,北京理工大学与美国犹他州立大学合作举办国际经济专业学士学位教育项目,https://www.crs.jsj.edu.cn/aproval/detail/386,●
北京,合作办学项目,华北电力大学与英国斯莱斯克莱德大学、英国曼切斯特大学合作举办电气工程及其自动化专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/424,▲
北京,合作办学项目,北京邮电大学与英国伦敦玛丽女王大学（原伦敦大学玛丽女王西田学院）合作举办电信工程及管理专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/470,●
北京,合作办学项目,北京邮电大学与英国伦敦玛丽女王大学（原伦敦大学玛丽女王西田学院）合作举办电子商务及法律专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/471,●
北京,合作办学项目,中国农业大学与美国科罗拉多大学（丹佛）合作举办国际经济与贸易专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/472,●
北京,合作办学项目,中国农业大学与美国科罗拉多大学（丹佛）合作举办传播学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/473,●
北京,合作办学项目,北京林业大学与美国密西根州立大学合作举办草业科学专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/474,●
北京,合作办学项目,北京农学院与英国哈珀亚当斯大学合作举办国际经济与贸易专业本科教育项目,https://www.crs.jsj.edu.cn/aproval/detail/478,●
